References	Qty	Arrow	AvnetEU	Chip1stop	Datasheet2	Datasheet3	Datasheet4	DatasheetLC	Datasheet_errata	Digike_y	Digike_y1	Digike_y2	Digike_y3	Digikey	Digikey2	Dikike_y2	Dtasheet4	EMPTY_MPN	FreelanceElec	Koncar	LCSC	LCS_C1	LCS_C2	LowCost	MFG1	MFG2	MFG2_TR_DS	MFG3	MFG4	MPN	MPN2	MPN3	MPN4	MPN5	MP_N2	MP_N3	MP_N4	MP_N5	Mouse_1r	Mouse_r	Mouse_r0	Mouse_r1	Mouse_r2	Mouse_r3	Mouse_r4	Mouse_r5	Mouse_r6	Mouse_r7	Mouser	Newar_k2	Newark	Note	Onlinecomponents	RS	Side	TME	Vertical
AE1	1																																																			Leave empty					
AUDIO1	1													CP-43516SJCT-ND						FAU001					CUI					SJ-43516-SMT-TR												490-SJ43515RS-SMT-TR	490-SJ-43516-SMT-TR 						490-SJ43515TS-SMT-TR						T		SJ-43516-SMT-TR
B0, B1, B2, B3, B4, B5, B6	7													CKN9088CT-ND						FSW001	C285463									PTS645SL50SMTR92 LFS																			611-PTS645SL50SMTR92	79AH5908	15N4500				T		
BAT1	1					https://cdn.harwin.com/pdfs/S8201R.pdf					BK-885-ND	36-3000CT-ND		952-1662-1-ND						FBAT001	C238097				Keystone	MPD		Harwin		3000TR	BK-885	S8201-46R											855-S8201-46R	534-3000TR					614-SMTM1225.TR		65T3841			1613707			
C1, C3, C4, C5, C7, C8, C9, C11, C12, C15, C21, C54, C55, C58, C61	15											1276-2412-1-ND		1276-2413-1-ND						FC004	C29277									CC0805ZKY5V5BB226 													81-GRM21BR61A226ME1K	81-GRM219R61C226ME5L	81-GRM188C60J226ME0J	963-LMK212BBJ226MG-T			81-GRM21BR61A226ME1L		08P5169						
C2, C6, C10, C18	4											399-9086-1-ND		311-4078-1-ND						FC006	C14665		C22396							CS0603KRX7R9BB471												710-885012206081	603-CS0603KRX79BB471	603-CC603JRNPO9BN101	603-CC603KRX7R9BB471 				581-06035A101JAT4A		38K9273						
C13, C16, C17, C19, C20, C22, C23, C24, C46, C47	10											1276-2903-1-ND		587-5918-1-ND						FC001	C87995									CC0805MRX5R6BB225												80-C0805C225K4R3123	603-CC805MRX5R6BB225						187-CL21B225KOFNNNG	70K9141	73AH0064						
C14, C59, C60, C62	4													1276-1112-1-ND						FC002	C326805									CC0603KRX7R8BB224												81-GCM188R71E224K55D							603-CC603KRX7R6BB224		82AC9347				TB		
C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C38, C39, C40, C41, C42, C43, C44, C45, C48, C49, C50, C51, C52, C53, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72	35											1276-2000-1-ND		587-1238-1-ND						FC003	C107137									CC0603JRX7R8BB223												603-CC603JRX7R8BB223	603-AC603KRX7R7BB223	710-885012206091					603-CC603KRX7R7BB223		82AC9346						
C56, C57	2										311-3848-1-ND	311-3855-1-ND		1276-1792-1-ND						FC005	C314302		C85300							CC0603CRNPO9BN3R3													710-885012006048						603-CC603CPNPO9BN4R7		96Y8338						
D0, D4, D11, D19	4													160-1415-1-ND						FV007	C94868									LTST-C170KRKT												859-LTST-C171KRKT	743-IN-S85ATR	645-598-8110-107F					859-LTST-C170KRKT	61AC0090	75R0581				TB		
D1, D5	2													160-1413-1-ND						FV006	C284931			LTST-C170KRKT						LTST-C170KFKT												859-LTST-C171KFKT		645-598-8130-107F					859-LTST-C170KFKT	61AC0088	75R0583				T		
D2, D6	2													160-1887-1-ND						FV005	C364562			LTST-C170KRKT						LTST-C170TGKT																			859-LTST-C170TGKT		75R0588				T	LTST-C170TGKT	
D3, D7	2				http://optoelectronics.liteon.com/upload/download/ds22-2000-233/ltst-c171tbkt(0630).pdf	https://www.rohm.com/datasheet/SML-M13UT								160-1579-1-ND						FV004	C375453			LTST-C170KRKT						LTST-C170TBKT					LTST-C171TBKT	SMLMN2BCTT86C						593-LSM0805463V	755-SMLMN2BCTT86C	859-LTST-C171TBKT					859-LTST-C170TBKT	19J8850	94T2911				T		
D8	1		STPS2L30AF											497-12310-1-ND						FV008	C111630									STPS2L30AF																			511-STPS2L40AF		69AH2828						
D9, D51, D52	3																	RC0805JR-070RL							Yageo	ST					STPS2L30AF																					Leave empty					
D10, D13, D14, D16, D17, D23, D24, D25, D26, D27, D29	11			C1S541901230010								1N4148WSFSCT-ND	1N4148WXTPMSCT-ND	1N914BWSCT-ND						FV001	C258181									1N4148WS 												833-1N4148WX-TP	512-1N914BWS	863-MMDL914T1G	863-MMDL914T3G	771-BAS316Z	771-BAS316-T/R		241-1N4148WSR100001		12T2305						
D12, D15	2													NSR0530HT1GOSCT-ND						FV003	C12744				ON semiconductor	Diodes inc.				NSR0530HT1G 	BAT54WSQ-7-F 												755-RSX051VYM30FHTR						771-BAT54J115		83H6419						
D18	1													160-1887-1-ND						FV005	C364562									LTST-C170TGKT 																			859-LTST-C170TGKT		75R0588				T		
D20, D21, D30	3													BZT52C3V6S-TPMSCT-ND						FV002	C353525									BZT52C3V6S																			833-BZT52C3V6S-TP		01P0395						
D22	1				http://optoelectronics.liteon.com/upload/download/ds22-2000-233/ltst-c171tbkt(0630).pdf	https://www.rohm.com/datasheet/SML-M13UT								160-1579-1-ND						FV004	C375453									LTST-C170TBKT					LTST-C171TBKT	SMLMN2BCTT86C						593-LSM0805463V	755-SMLMN2BCTT86C	859-LTST-C171TBKT					859-LTST-C170TBKT		94T2911				T		
D28	1									1N4148WXTPMSCT-ND								MMDL914T1G		FV001																				863-MMDL914T1G												Leave empty					
GPDI1	1				https://hr.mouser.com/datasheet/2/418/NG_CD_1903015_S-662666.pdf							A136174CT-ND		609-4614-1-ND						FX001	C427307									10029449-111RLF	5-1903015-5																		649-10029449-111RLF		76T8273		10029449-111RLF		T		
H1, H2, H3, H4	4																																																			Leave empty					
J1, J2	2																																																			Leave empty					
J3	1																																																			Leave empty			T		
J4	1																																																			Leave empty			T		
J5	1																																																			Leave empty			T		
L1, L2, L3	3							https://datasheet.octopart.com/LQH32PB2R2NN0L-Murata-datasheet-20916646.pdf			490-18405-1-ND	490-10649-1-ND		445-TFM322512ALMA2R2MTAACT-ND						FL001	C285758		C285914	81-DFE252012P-2R2MP2	Murata	Murata		Bourns	Chilisin Elec	DFE322512F-2R2M=P2					DFE252012P-2R2M=P2	SRP2512A-2R2M	HEI322512A-2R2M-Q8	81-LQH32PB2R2NN0L				710-74479299222	810-TFM322512ALMA2R2	81-DFE322520FD2R2MP2					81-DFE322512F-2R2MP2		57AC6667						DFE322512F-2R2M=P2
L4, L5	2													CV201210-330KCT-ND						FL002	C412010									CV201210-330K																			652-CV201210-330K		44AC1927						
LCD1	1																													DM-OLEDC095-626																						Leave empty					
Q1	1													TBC857BLMCT-ND						FT001	C181146									BC857													863-BC857BLT1G						583-BC856A-T		45J0600						
Q2	1	T2N7002AK,LM												2N7002K-TPMSCT-ND						FT002	C179727									2N7002P,215												757-T2N7002AKLM	771-NX7002AKAR	865-XP261N7002TR-G					512-2N7002L		65W8792						
R1, R3, R4, R25, R26, R30, RB2	7													YAG3613CT-ND						FR011	C218056									AC0603FR-104K7L													603-RC0603FR-074K7L	603-AC0603FR-074K7L					755-SFR03EZPF4701		94X1638						
R2, RB1	2													 311-18.0KHRCT-ND						FR006	C425614									RC0603FR-1018KL																			71-CRCW060318K0FKEAC		94X1474						
R5	1													P2.20MHCT-ND						FR007	C18679									RC0603FR-132M2L																			603-AC0603FR-072M2L		89M6741						
R6, R8, R14, R18, R29, R40, R54, R57, R66	9													P1.10KHCT-ND						FR002	C269415									 RC0603FR-071K1L													603-AC0603FR-071K1L						603-RC0603FR-071K1L		65T8314						
R7, R10, R17, R21, R39, R51, R60	7													311-130HRCT-ND						FR004	C269457									RC0603FR-07130RL																			603-RC0603FR-07130RL		65T8330						
R9, R13, R31, R32, R33, R34, R56, R63, R64, RA1, RA2, RA3	12													YAG3569CT-ND						FR005	C217750									RC0603FR-0715KL												603-RC0603FR-0715KL	603-RC0603FR-1015KL	603-RC0603FR-1315KL					603-AC0603FR-1015KL		94X1443						
R11, R12, R27, R28, R55	5													311-10KLMCT-ND						FR013	C15401									RC0603FR-0710KL																			603-RC0603FR-0710KL		94X1379	Leave empty					
R15, R19, R35, R36, R37, R41, R42, R43, R44, R45, R46, R47, R48, R58, R61, R62, R65, R67	18													311-549HRCT-ND						FR012	C308281									RC0603FR-07549RL																			603-RC0603FR-07549RL		65T8486				TB		
R16, R20, R59	3													311-270HRCT-ND						FR010	C325609									RC0603FR-07270RL													603-RC0603FR-07270RL						603-AC0603FR-07270RL		64R5333						
R22, R23, RB3	3													YAG3605CT-ND						FR009	C425629									RT0603FRE073K3L													603-RC0603FR-103K3L						603-RC0603FR-073K3L		94X1577						
R24	1											P100KHCT-ND		311-100KHRCT-ND						FR003	C73806									AC0603FR-10100KL													71-CRCW0603100KFKEAC						71-RCA0603100KJNEC		08AH9140						
R38	1													73L2R47JCT-ND						FR001	C158884				CTS					73L2R47J																			774-73L2R47J		32K1357						
R49, R50, R52, R53	4													311-27.0HRCT-ND						FR008	C325726									AC0603JR-0727RL																			603-AC0603JR-0727RL		08AH8595						
RP1, RP2, RP3	3										YAG1327CT-ND							RC0805JR-070RL																								71-RCG08050000Z0EA	603-RC0805JR-070RL	652-CR0805-J/-000ELF								Leave empty					
RV2	1																	RC0805JR-070RL																																		Leave empty					
RV3	1													YAG1327CT-ND						FR014	C112378									RC0805JR-070RL																			71-RCG08050000Z0EA		74AC1409				T		
SD1	1													WM6357CT-ND							C585350									104031-0811																			538-104031-0811		41Y0636						
SW1	1													CT2194MST-ND						FSW002	C319050									219-4MST	DSHP04TS-S											774-219-4LPS	774-219-4MSTF						774-2194MST		29P1768				T		
U1	1											220-2071-ND		220-2177-ND						FU004	C446029			842-LFE5U12F6BG381C	Lattice	Lattice				LFE5U-85F-6BG381C					LFE5U-12F-6BG381C														842-LFE5U85F6BG381C						T		
